row tindex,time,outputvalue,force
0,14-16-59,-803.0,0.05
1,14-17-01,-1300.0,0.07
2,14-17-03,-485.0,0.03
3,14-17-05,-206.0,0.02
4,14-17-06,636.0,-0.03
5,14-17-08,4059.0,-0.2
6,14-17-10,6601.0,-0.32
7,14-17-12,6344.0,-0.31
8,14-17-14,5183.0,-0.25
9,14-17-15,2428.0,-0.12
10,14-17-17,1392.0,-0.06
11,14-17-19,1816.0,-0.08
12,14-17-21,4049.0,-0.2
13,14-17-23,6277.0,-0.31
14,14-17-24,4898.0,-0.24
15,14-17-26,3338.0,-0.16
16,14-17-28,981.0,-0.04
17,14-17-30,1655.0,-0.08
18,14-17-32,4211.0,-0.2
19,14-17-33,6798.0,-0.33
20,14-17-35,5201.0,-0.25
21,14-17-37,3203.0,-0.15
22,14-17-39,932.0,-0.04
23,14-17-41,684.0,-0.03
24,14-17-42,3125.0,-0.15
25,14-17-44,1553.0,-0.07
26,14-17-46,4149.0,-0.2
27,14-17-48,4550.0,-0.22
28,14-17-50,4146.0,-0.2
29,14-17-52,4727.0,-0.23
30,14-17-53,2364.0,-0.11
31,14-17-55,2800.0,-0.13
32,14-17-57,4261.0,-0.21
33,14-17-59,4535.0,-0.22
34,14-18-01,2383.0,-0.11
35,14-18-02,3139.0,-0.15
36,14-18-04,4368.0,-0.21
37,14-18-06,4324.0,-0.21
38,14-18-08,1065.0,-0.05
39,14-18-10,2461.0,-0.12
40,14-18-11,1804.0,-0.08
41,14-18-13,898.0,-0.04
42,14-18-15,4570.0,-0.22
43,14-18-17,3669.0,-0.18
44,14-18-19,2243.0,-0.11
45,14-18-20,161.0,-0.0
46,14-18-22,3510.0,-0.17
47,14-18-24,4412.0,-0.21
48,14-18-26,2907.0,-0.14
49,14-18-28,2571.0,-0.12
50,14-18-29,-649.0,0.04
51,14-18-31,1420.0,-0.06
52,14-18-33,-350.0,0.02
53,14-18-35,950.0,-0.04
54,14-18-37,2283.0,-0.11
55,14-18-39,1082.0,-0.05
56,14-18-40,2816.0,-0.13
57,14-18-42,-3361.0,0.17
58,14-18-44,-2163.0,0.11
59,14-18-46,-448.0,0.03
60,14-18-48,1157.0,-0.05
61,14-18-49,-1722.0,0.09
62,14-18-51,525.0,-0.02
63,14-18-53,222.0,-0.01
64,14-18-55,-1476.0,0.08
65,14-18-57,-306.0,0.02
66,14-18-58,-548.0,0.03
67,14-19-00,227.0,-0.01
68,14-19-02,-4434.0,0.23
69,14-19-04,1831.0,-0.09
70,14-19-06,2016.0,-0.09
71,14-19-07,659.0,-0.03
72,14-19-09,-6926.0,0.35
73,14-19-11,732.0,-0.03
74,14-19-13,2553.0,-0.12
75,14-19-15,831.0,-0.04
76,14-19-16,-1876.0,0.1
77,14-19-18,-1525.0,0.08
78,14-19-20,-4524.0,0.23
79,14-19-22,-1826.0,0.1
80,14-19-24,-2948.0,0.15
81,14-19-25,-76.0,0.01
82,14-19-27,-536.0,0.03
83,14-19-29,410.0,-0.01
84,14-19-31,-1293.0,0.07
85,14-19-33,-4658.0,0.24
86,14-19-35,-2989.0,0.15
87,14-19-37,-4812.0,0.24
88,14-19-38,-8025.0,0.4
89,14-19-40,-7487.0,0.38
90,14-19-42,-4114.0,0.21
91,14-19-44,-6925.0,0.35
92,14-19-46,-5187.0,0.26
93,14-19-47,-5857.0,0.3
94,14-19-49,-5096.0,0.26
95,14-19-51,-8292.0,0.42
96,14-19-53,-2442.0,0.13
97,14-19-55,-2725.0,0.14
98,14-19-56,-5036.0,0.26
99,14-19-58,-9410.0,0.47
100,14-20-00,-6847.0,0.35
101,14-20-02,-2751.0,0.14
102,14-20-04,-5190.0,0.26
103,14-20-05,-6572.0,0.33
104,14-20-07,-6647.0,0.34
105,14-20-09,-8719.0,0.44
106,14-20-11,-4119.0,0.21
107,14-20-13,-4973.0,0.25
108,14-20-14,-2030.0,0.11
109,14-20-16,-2480.0,0.13
110,14-20-18,-2212.0,0.12
111,14-20-20,-909.0,0.05
112,14-20-22,-7492.0,0.38
113,14-20-24,-4652.0,0.24
114,14-20-25,-5250.0,0.27
115,14-20-27,-3834.0,0.2
116,14-20-29,-10421.0,0.52
